condition,face_path,isi_dur,face_valence,face_emotion,word,word_valence,correct_response
负脸正词,Session_01\Emotional_faces\man_sub22\anger.jpg,1.3,negative,anger,称赞,positive,negative
正性一致,Session_01\Emotional_faces\man_sub7\happiness.jpg,1.9,positive,happiness,美德,positive,positive
正脸负词,Session_01\Emotional_faces\man_sub3\happiness.jpg,1.0,positive,happiness,倒霉,negative,positive
负脸正词,Session_01\Emotional_faces\man_sub29\disgust.jpg,1.6,negative,disgust,表扬,positive,negative
负脸正词,Session_01\Emotional_faces\man_sub11\fear.jpg,1.3,negative,fear,纯洁,positive,negative
负脸正词,Session_01\Emotional_faces\woman_sub6\sadness.jpg,1.6,negative,sadness,鼓励,positive,negative
负性一致,Session_01\Emotional_faces\man_sub44\fear.jpg,1.9,negative,fear,仇恨,negative,negative
负性一致,Session_01\Emotional_faces\woman_sub13\disgust.jpg,1.9,negative,disgust,焦急,negative,negative
正脸负词,Session_01\Emotional_faces\man_sub43\happiness.jpg,1.3,positive,happiness,失败,negative,positive
负脸正词,Session_01\Emotional_faces\man_sub53\sadness.jpg,1.0,negative,sadness,坚定,positive,negative
正性一致,Session_01\Emotional_faces\man_sub57\happiness.jpg,1.6,positive,happiness,表扬,positive,positive
正脸负词,Session_01\Emotional_faces\man_sub59\happiness.jpg,2.5,positive,happiness,慌张,negative,positive
负性一致,Session_01\Emotional_faces\woman_sub37\disgust.jpg,1.9,negative,disgust,惊慌,negative,negative
正脸负词,Session_01\Emotional_faces\man_sub17\happiness.jpg,1.0,positive,happiness,悲哀,negative,positive
正性一致,Session_01\Emotional_faces\woman_sub53\happiness.jpg,1.0,positive,happiness,感动,positive,positive
负性一致,Session_01\Emotional_faces\woman_sub57\sadness.jpg,2.2,negative,sadness,凶狠,negative,negative
负性一致,Session_01\Emotional_faces\woman_sub54\sadness.jpg,1.3,negative,sadness,狂妄,negative,negative
正性一致,Session_01\Emotional_faces\woman_sub25\happiness.jpg,1.9,positive,happiness,礼貌,positive,positive
正脸负词,Session_01\Emotional_faces\woman_sub18\happiness.jpg,2.2,positive,happiness,说谎,negative,positive
正脸负词,Session_01\Emotional_faces\woman_sub20\happiness.jpg,2.5,positive,happiness,恐惧,negative,positive
正脸负词,Session_01\Emotional_faces\man_sub9\happiness.jpg,2.2,positive,happiness,惊慌,negative,positive
正性一致,Session_01\Emotional_faces\man_sub36\happiness.jpg,2.5,positive,happiness,踏实,positive,positive
负脸正词,Session_01\Emotional_faces\woman_sub27\anger.jpg,1.0,negative,anger,聪明,positive,negative
负脸正词,Session_01\Emotional_faces\woman_sub12\fear.jpg,1.9,negative,fear,欢笑,positive,negative
正脸负词,Session_01\Emotional_faces\man_sub18\happiness.jpg,2.2,positive,happiness,讽刺,negative,positive
负性一致,Session_01\Emotional_faces\man_sub27\disgust.jpg,2.5,negative,disgust,倒霉,negative,negative
正性一致,Session_01\Emotional_faces\man_sub13\happiness.jpg,2.2,positive,happiness,聪明,positive,positive
负脸正词,Session_01\Emotional_faces\man_sub52\sadness.jpg,1.0,negative,sadness,感动,positive,negative
正脸负词,Session_01\Emotional_faces\man_sub5\happiness.jpg,1.9,positive,happiness,可恶,negative,positive
正脸负词,Session_01\Emotional_faces\man_sub60\happiness.jpg,2.5,positive,happiness,狠心,negative,positive
正脸负词,Session_01\Emotional_faces\woman_sub26\happiness.jpg,1.9,positive,happiness,可怕,negative,positive
正脸负词,Session_01\Emotional_faces\man_sub48\happiness.jpg,1.6,positive,happiness,欺骗,negative,positive
